armLength 	0.1 	slingLength 	0.1 	0.05224407608992041
armLength 	0.1 	slingLength 	0.2 	54.735979155450465
armLength 	0.1 	slingLength 	0.30000000000000004 	8.942592563543947
armLength 	0.1 	slingLength 	0.4 	0.7667799338511478
armLength 	0.1 	slingLength 	0.5 	0.4838453034023468
armLength 	0.1 	slingLength 	0.6 	0.8818515236025634
armLength 	0.1 	slingLength 	0.7 	0.821531312219471
armLength 	0.1 	slingLength 	0.7999999999999999 	0.0
armLength 	0.1 	slingLength 	0.8999999999999999 	0.8857054890210696
armLength 	0.1 	slingLength 	0.9999999999999999 	2.4919663756685244
armLength 	0.1 	slingLength 	1.0999999999999999 	1.8813610669369232
armLength 	0.1 	slingLength 	1.2 	1.7170536235730367
armLength 	0.1 	slingLength 	1.3 	6.4572064082057885
armLength 	0.1 	slingLength 	1.4000000000000001 	8.665122599381535
armLength 	0.1 	slingLength 	1.5000000000000002 	8.502063911954
armLength 	0.1 	slingLength 	1.6000000000000003 	13.188828703691717
armLength 	0.1 	slingLength 	1.7000000000000004 	41.84542125408228
armLength 	0.1 	slingLength 	1.8000000000000005 	71.64306653863223
armLength 	0.1 	slingLength 	1.9000000000000006 	0.0
armLength 	0.1 	slingLength 	2.0000000000000004 	0.0
armLength 	0.1 	slingLength 	2.1000000000000005 	0.0
armLength 	0.1 	slingLength 	2.2000000000000006 	0.0
armLength 	0.1 	slingLength 	2.3000000000000007 	0.0
armLength 	0.1 	slingLength 	2.400000000000001 	0.0
armLength 	0.1 	slingLength 	2.500000000000001 	0.0
armLength 	0.1 	slingLength 	2.600000000000001 	0.0
armLength 	0.1 	slingLength 	2.700000000000001 	0.0
armLength 	0.1 	slingLength 	2.800000000000001 	0.0
armLength 	0.1 	slingLength 	2.9000000000000012 	0.0
armLength 	0.1 	slingLength 	3.0000000000000013 	0.0
armLength 	0.1 	slingLength 	3.1000000000000014 	0.0
armLength 	0.1 	slingLength 	3.2000000000000015 	0.0
armLength 	0.1 	slingLength 	3.3000000000000016 	0.0
armLength 	0.1 	slingLength 	3.4000000000000017 	0.0
armLength 	0.1 	slingLength 	3.5000000000000018 	0.0
armLength 	0.1 	slingLength 	3.600000000000002 	0.0
armLength 	0.1 	slingLength 	3.700000000000002 	0.0
armLength 	0.1 	slingLength 	3.800000000000002 	0.0
armLength 	0.1 	slingLength 	3.900000000000002 	0.0
armLength 	0.1 	slingLength 	4.000000000000002 	0.0
armLength 	0.1 	slingLength 	4.100000000000001 	0.0
armLength 	0.1 	slingLength 	4.200000000000001 	0.0
armLength 	0.1 	slingLength 	4.300000000000001 	0.0
armLength 	0.1 	slingLength 	4.4 	0.0
armLength 	0.1 	slingLength 	4.5 	0.0
armLength 	0.1 	slingLength 	4.6 	0.0
armLength 	0.1 	slingLength 	4.699999999999999 	0.0
armLength 	0.1 	slingLength 	4.799999999999999 	0.0
armLength 	0.1 	slingLength 	4.899999999999999 	0.0
armLength 	0.1 	slingLength 	4.999999999999998 	0.0
armLength 	0.1 	slingLength 	5.099999999999998 	0.0
armLength 	0.1 	slingLength 	5.1999999999999975 	0.0
armLength 	0.1 	slingLength 	5.299999999999997 	0.0
armLength 	0.1 	slingLength 	5.399999999999997 	0.0
armLength 	0.1 	slingLength 	5.4999999999999964 	0.0
armLength 	0.1 	slingLength 	5.599999999999996 	0.0
armLength 	0.1 	slingLength 	5.699999999999996 	0.0
armLength 	0.1 	slingLength 	5.799999999999995 	0.0
armLength 	0.1 	slingLength 	5.899999999999995 	0.0
armLength 	0.1 	slingLength 	5.999999999999995 	0.0
armLength 	0.1 	slingLength 	6.099999999999994 	0.0
armLength 	0.1 	slingLength 	6.199999999999994 	0.0
armLength 	0.1 	slingLength 	6.299999999999994 	0.0
armLength 	0.1 	slingLength 	6.399999999999993 	0.0
armLength 	0.1 	slingLength 	6.499999999999993 	0.0
armLength 	0.1 	slingLength 	6.5999999999999925 	0.0
armLength 	0.1 	slingLength 	6.699999999999992 	0.0
armLength 	0.1 	slingLength 	6.799999999999992 	0.0
armLength 	0.1 	slingLength 	6.8999999999999915 	0.0
armLength 	0.1 	slingLength 	6.999999999999991 	0.0

armLength 	0.2 	slingLength 	0.1 	1.0910076144131944
armLength 	0.2 	slingLength 	0.2 	0.81768944493264
armLength 	0.2 	slingLength 	0.30000000000000004 	67.15845086720016
armLength 	0.2 	slingLength 	0.4 	3.3888872970193966
armLength 	0.2 	slingLength 	0.5 	0.019365811924238387
armLength 	0.2 	slingLength 	0.6 	0.2597157882804365
armLength 	0.2 	slingLength 	0.7 	2.037800795071924
armLength 	0.2 	slingLength 	0.7999999999999999 	0.9417000292589209
armLength 	0.2 	slingLength 	0.8999999999999999 	0.08612110822595263
armLength 	0.2 	slingLength 	0.9999999999999999 	3.133287568818256
armLength 	0.2 	slingLength 	1.0999999999999999 	6.856634573307193
armLength 	0.2 	slingLength 	1.2 	0.0
armLength 	0.2 	slingLength 	1.3 	0.0
armLength 	0.2 	slingLength 	1.4000000000000001 	0.0
armLength 	0.2 	slingLength 	1.5000000000000002 	4.78761152971879
armLength 	0.2 	slingLength 	1.6000000000000003 	3.3286773625051165
armLength 	0.2 	slingLength 	1.7000000000000004 	3.480332181552576
armLength 	0.2 	slingLength 	1.8000000000000005 	2.8608194411320853
armLength 	0.2 	slingLength 	1.9000000000000006 	2.4961810069899517
armLength 	0.2 	slingLength 	2.0000000000000004 	2.9424656191253544
armLength 	0.2 	slingLength 	2.1000000000000005 	2.2080366847324417
armLength 	0.2 	slingLength 	2.2000000000000006 	1.3549210501550062
armLength 	0.2 	slingLength 	2.3000000000000007 	2.0823584782007623
armLength 	0.2 	slingLength 	2.400000000000001 	5.345150898775151
armLength 	0.2 	slingLength 	2.500000000000001 	7.122764038807996
armLength 	0.2 	slingLength 	2.600000000000001 	6.771400805819934
armLength 	0.2 	slingLength 	2.700000000000001 	4.835948185164491
armLength 	0.2 	slingLength 	2.800000000000001 	5.055655594661379
armLength 	0.2 	slingLength 	2.9000000000000012 	5.133645540780852
armLength 	0.2 	slingLength 	3.0000000000000013 	5.452988168823488
armLength 	0.2 	slingLength 	3.1000000000000014 	9.483273101280576
armLength 	0.2 	slingLength 	3.2000000000000015 	14.938257569626558
armLength 	0.2 	slingLength 	3.3000000000000016 	13.228395854351353
armLength 	0.2 	slingLength 	3.4000000000000017 	9.184900842084186
armLength 	0.2 	slingLength 	3.5000000000000018 	10.217914565133436
armLength 	0.2 	slingLength 	3.600000000000002 	11.52842649893722
armLength 	0.2 	slingLength 	3.700000000000002 	17.328602126841368
armLength 	0.2 	slingLength 	3.800000000000002 	28.467753312038692
armLength 	0.2 	slingLength 	3.900000000000002 	34.34703406924765
armLength 	0.2 	slingLength 	4.000000000000002 	0.0
armLength 	0.2 	slingLength 	4.100000000000001 	0.0
armLength 	0.2 	slingLength 	4.200000000000001 	0.0
armLength 	0.2 	slingLength 	4.300000000000001 	0.0
armLength 	0.2 	slingLength 	4.4 	0.0
armLength 	0.2 	slingLength 	4.5 	0.0
armLength 	0.2 	slingLength 	4.6 	0.0
armLength 	0.2 	slingLength 	4.699999999999999 	0.0
armLength 	0.2 	slingLength 	4.799999999999999 	0.0
armLength 	0.2 	slingLength 	4.899999999999999 	0.0
armLength 	0.2 	slingLength 	4.999999999999998 	0.0
armLength 	0.2 	slingLength 	5.099999999999998 	0.0
armLength 	0.2 	slingLength 	5.1999999999999975 	0.0
